"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","교장(남)","교장(여)","교장(휴직교원)","교장(계)","교감(남)","교감(여)","교감(휴직교원)","교감(계)","수석교사(남)","수석교사(여)","수석교사(휴직교원)","수석교사(계)","보직교사(남)","보직교사(여)","보직교사(휴직교원)","보직교사(계)","일반교사(남)","일반교사(여)","일반교사(휴직교원)","일반교사(계)","특수교사(남)","특수교사(여)","특수교사(휴직교원)","특수교사(계)","전문상담교사(남)","전문상담교사(여)","전문상담교사(휴직교원)","전문상담교사(계)","사서교사(남)","사서교사(여)","사서교사(휴직교원)","사서교사(계)","실기교사(남)","실기교사(여)","실기교사(휴직교원)","실기교사(계)","보건교사(남)","보건교사(여)","보건교사(휴직교원)","보건교사(계)","영양교사(남)","영양교사(여)","영양교사(휴직교원)","영양교사(계)","기간제교사(남)","기간제교사(여)","기간제교사(휴직교원)","기간제교사(계)","강사(남)","강사(여)","강사(휴직교원)","강사(계)","총계(남)","총계(여)","총계(휴직교원)","총계(계)","원어민강사(남)","원어민강사(여)","원어민강사(계)","휴직교원수"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000445","가평고등학교","04","공립","N","","0","1","0","1","1","0","0","1","1","0","0","1","6","6","0","12","8","24","3","32","0","3","1","3","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","2","4","0","6","1","1","0","2","19","41","4","60","0","0","0","4"
"경기도교육청","경기도수원교육지원청","경기도 수원시 장안구","S090000447","경기과학고등학교","04","공립","N","","1","0","0","1","1","0","0","1","0","0","0","0","9","5","0","14","32","28","4","60","0","0","0","0","0","1","0","1","0","1","0","1","0","0","0","0","0","1","0","1","0","2","0","2","2","1","0","3","0","0","0","0","45","39","4","84","0","0","0","4"
"경기도교육청","경기도수원교육지원청","경기도 수원시 권선구","S090000448","경기대명고등학교","04","공립","N","","1","0","0","1","1","0","0","1","0","0","0","0","4","1","0","5","3","10","3","13","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","2","4","0","6","2","2","0","4","13","19","3","32","0","0","0","3"
"경기도교육청","경기도수원교육지원청","경기도 수원시 장안구","S090000449","경기체육고등학교","04","공립","N","","1","0","0","1","1","0","0","1","0","0","0","0","8","3","0","11","8","10","2","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","2","0","2","2","3","0","5","0","0","0","0","20","19","2","39","0","0","0","2"
"경기도교육청","경기도이천교육지원청","경기도 이천시","S090000450","이천세무고등학교","04","공립","N","","0","1","0","1","1","0","0","1","0","0","0","0","4","1","0","5","3","4","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","1","0","5","0","0","0","0","12","7","0","19","0","0","0","0"
"경기도교육청","경기도의정부교육지원청","경기도 의정부시","S090000451","경민고등학교","04","사립","N","","1","0","0","1","1","0","0","1","0","0","0","0","8","4","0","12","18","10","0","28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","7","14","0","21","0","0","0","0","35","29","0","64","0","0","0","0"
"경기도교육청","경기도의정부교육지원청","경기도 의정부시","S090000453","경민비즈니스고등학교","04","사립","N","","0","1","0","1","1","0","0","1","0","0","0","0","6","7","0","13","7","11","2","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","1","8","19","0","27","0","0","0","0","22","40","2","62","0","0","0","2"
"경기도교육청","경기도의정부교육지원청","경기도 의정부시","S090000455","경민IT고등학교","04","사립","N","","1","0","0","1","1","0","0","1","0","0","0","0","7","7","0","14","8","7","0","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","11","14","0","25","0","0","0","0","28","29","0","57","0","0","0","0"
"경기도교육청","경기도안산교육지원청","경기도 안산시 단원구","S090000457","경안고등학교","04","사립","N","","1","0","0","1","1","0","0","1","0","0","0","0","14","0","0","14","29","20","0","49","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","6","9","0","15","0","0","0","0","51","30","0","81","0","0","0","0"
"경기도교육청","경기도안산교육지원청","경기도 안산시 단원구","S090000458","경일고등학교","04","사립","N","","1","0","0","1","0","0","0","0","0","0","0","0","6","9","0","15","15","27","7","42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","1","10","20","0","30","1","2","0","3","33","60","7","93","0","0","0","7"
"경기도교육청","경기도광주하남교육지원청","경기도 광주시","S090000460","경화여자고등학교","04","사립","N","","0","1","0","1","0","1","0","1","0","0","0","0","7","5","0","12","28","12","2","40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","1","10","10","0","20","0","0","0","0","45","31","2","76","0","0","0","2"
"경기도교육청","경기도부천교육지원청","경기도 부천시 원미구","S090000463","계남고등학교","04","공립","N","","1","0","0","1","0","1","0","1","0","0","0","0","5","7","0","12","5","34","5","39","0","3","1","3","0","1","1","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","4","7","0","11","0","0","0","0","15","54","7","69","0","0","0","7"
"경기도교육청","경기도성남교육지원청","경기도 성남시 분당구","S090000466","계원예술고등학교","04","사립","N","","1","0","0","1","1","0","0","1","0","0","0","0","4","4","0","8","7","22","1","29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1","7","0","8","1","0","0","1","15","34","1","49","0","0","0","1"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산서구","S090000468","백송고등학교","04","사립","N","","1","0","0","1","1","0","0","1","0","0","0","0","5","4","0","9","3","6","1","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","12","0","16","0","0","0","0","14","22","1","36","0","0","0","1"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000469","고양외국어고등학교","04","사립","N","","0","0","0","0","0","1","0","1","1","0","0","1","9","1","0","10","17","14","0","31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","4","12","0","16","1","4","0","5","32","33","0","65","0","0","0","0"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000470","고양고등학교","04","공립","N","","1","0","0","1","1","0","0","1","0","0","0","0","7","10","0","17","4","20","2","24","0","4","1","4","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","6","11","0","17","2","0","0","2","21","47","3","68","0","0","0","3"
"경기도교육청","경기도안산교육지원청","경기도 안산시 단원구","S090000471","고잔고등학교","04","공립","N","","1","0","0","1","0","1","0","1","0","0","0","0","10","2","0","12","10","33","8","43","1","2","2","3","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","5","17","0","22","0","0","0","0","27","57","10","84","0","0","0","10"
"경기도교육청","경기도안양과천교육지원청","경기도 과천시","S090000472","과천고등학교","04","공립","N","","1","0","0","1","1","0","0","1","0","1","0","1","3","8","0","11","6","28","6","34","0","3","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","1","2","7","0","9","1","1","0","2","14","50","6","64","0","0","0","6"
"경기도교육청","경기도안양과천교육지원청","경기도 과천시","S090000473","과천여자고등학교","04","사립","N","","1","0","0","1","0","0","0","0","0","0","0","0","4","4","0","8","23","6","0","29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","1","0","1","0","0","0","0","28","12","0","40","0","0","0","0"
"경기도교육청","경기도안양과천교육지원청","경기도 과천시","S090000474","과천외국어고등학교","04","사립","N","","0","1","0","1","1","0","0","1","0","0","0","0","11","0","0","11","22","10","2","32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","3","7","0","10","3","2","0","5","40","21","2","61","0","0","0","2"
"경기도교육청","경기도안양과천교육지원청","경기도 과천시","S090000475","과천중앙고등학교","04","공립","N","","1","0","0","1","0","1","0","1","0","0","0","0","4","8","0","12","9","24","5","33","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","1","4","7","0","11","0","0","0","0","18","43","6","61","0","0","0","6"
"경기도교육청","경기도안양과천교육지원청","경기도 안양시 동안구","S090000476","경기게임마이스터고등학교","04","공립","N","","1","0","0","1","1","0","0","1","0","0","0","0","4","9","0","13","4","9","1","13","0","1","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","6","0","6","0","0","0","0","11","26","1","37","0","0","0","1"
"경기도교육청","경기도안양과천교육지원청","경기도 안양시 동안구","S090000477","관양고등학교","04","공립","N","","0","1","0","1","0","1","0","1","0","0","0","0","6","6","0","12","4","52","5","56","1","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","1","0","1","4","7","0","11","0","1","0","1","15","71","6","86","0","0","0","6"
"경기도교육청","경기도포천교육지원청","경기도 포천시","S090000478","관인고등학교","04","공립","N","","1","0","0","1","1","0","0","1","0","0","0","0","2","1","0","3","3","8","0","11","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","8","10","0","18","0","0","0","0"
"경기도교육청","경기도구리남양주교육지원청","경기도 남양주시","S090000479","광동고등학교","04","사립","N","","1","0","0","1","1","0","0","1","0","0","0","0","7","5","0","12","22","21","4","43","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","8","12","0","20","0","0","0","0","39","40","5","79","0","0","0","5"
"경기도교육청","경기도의정부교육지원청","경기도 의정부시","S090000480","의정부광동고등학교","04","사립","N","","1","0","0","1","0","0","0","0","0","0","0","0","13","4","0","17","9","12","0","21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","9","8","0","17","0","0","0","0","32","25","0","57","0","0","0","0"
"경기도교육청","경기도광명교육지원청","경기도 광명시","S090000482","광명고등학교","04","공립","N","","1","0","0","1","1","0","0","1","0","0","0","0","4","8","0","12","12","42","6","54","0","3","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","1","1","3","0","4","0","0","0","0","19","58","6","77","0","0","0","6"
"경기도교육청","경기도광명교육지원청","경기도 광명시","S090000483","경기항공고등학교","04","사립","N","","1","0","0","1","1","0","0","1","0","0","0","0","4","2","0","6","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18","5","0","23","0","0","0","0","24","8","0","32","0","0","0","0"
"경기도교육청","경기도광명교육지원청","경기도 광명시","S090000484","광명북고등학교","04","공립","N","","1","0","0","1","0","1","0","1","0","0","0","0","5","9","0","14","6","45","15","51","4","5","2","9","0","0","0","0","0","1","0","1","0","0","0","0","0","1","0","1","0","1","0","1","5","12","0","17","0","0","0","0","21","75","17","96","0","0","0","17"
