"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","교장(남)","교장(여)","교장(휴직교원)","교장(계)","교감(남)","교감(여)","교감(휴직교원)","교감(계)","수석교사(남)","수석교사(여)","수석교사(휴직교원)","수석교사(계)","보직교사(남)","보직교사(여)","보직교사(휴직교원)","보직교사(계)","일반교사(남)","일반교사(여)","일반교사(휴직교원)","일반교사(계)","특수교사(남)","특수교사(여)","특수교사(휴직교원)","특수교사(계)","전문상담교사(남)","전문상담교사(여)","전문상담교사(휴직교원)","전문상담교사(계)","사서교사(남)","사서교사(여)","사서교사(휴직교원)","사서교사(계)","실기교사(남)","실기교사(여)","실기교사(휴직교원)","실기교사(계)","보건교사(남)","보건교사(여)","보건교사(휴직교원)","보건교사(계)","영양교사(남)","영양교사(여)","영양교사(휴직교원)","영양교사(계)","기간제교사(남)","기간제교사(여)","기간제교사(휴직교원)","기간제교사(계)","강사(남)","강사(여)","강사(휴직교원)","강사(계)","총계(남)","총계(여)","총계(휴직교원)","총계(계)","원어민강사(남)","원어민강사(여)","원어민강사(계)","휴직교원수"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000881","가평마장초등학교","02","공립","N","","0","1","0","1","1","0","0","1","0","0","0","0","1","2","0","3","2","3","1","5","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","4","8","1","12","0","0","0","1"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000882","가평초등학교","02","공립","N","","1","0","0","1","1","0","0","1","0","1","0","1","2","8","0","10","6","20","2","26","0","1","0","1","0","1","1","1","0","1","0","1","0","0","0","0","0","1","0","1","0","1","0","1","1","3","0","4","0","0","0","0","11","37","3","48","0","0","0","3"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000885","대성초등학교","02","공립","N","","0","1","0","1","1","0","0","1","0","0","0","0","2","1","0","3","0","5","1","5","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1","0","0","1","0","0","0","0","4","9","2","13","0","0","0","2"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000890","목동초등학교","02","공립","N","","0","0","0","0","1","0","0","1","0","0","0","0","1","2","0","3","1","3","0","4","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","1","0","0","0","0","3","8","0","11","0","0","0","0"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000892","목동초등학교명지분교장","02","공립","N","","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","2","0","0","0","0"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000895","미원초등학교","02","공립","N","","0","1","0","1","1","0","0","1","0","0","0","0","1","4","0","5","3","9","1","12","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1","2","0","3","0","0","0","0","6","18","1","24","0","0","0","1"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000899","미원초등학교위곡분교장","02","공립","N","","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","3","2","0","5","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","3","0","7","0","0","0","0"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000900","미원초등학교장락분교장","02","공립","N","","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","2","3","0","5","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","4","0","7","0","0","0","0"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000901","방일초등학교","02","공립","N","","0","1","0","1","1","0","0","1","0","0","0","0","1","2","0","3","1","3","0","4","0","1","0","1","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","3","9","0","12","0","0","0","0"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000905","상면초등학교","02","공립","N","","1","0","0","1","1","0","0","1","0","0","0","0","0","3","0","3","1","3","0","4","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","3","8","0","11","0","0","0","0"
