"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","학교특성","분교여부","설립유형","주야구분","개교기념일","설립일","법정동코드","주소내역","상세주소내역","우편번호","학교도로명 우편번호","학교도로명 주소","학교도로명 상세주소","위도","경도","전화번호","팩스번호","홈페이지 주소","남녀공학 구분","폐교여부","폐교일자","휴교여부"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000876","가평중학교","03","공립","","N","단설","주간","19530415","19530113","4182025022","경기도 가평군 가평읍 대곡1리","273번지.","477804","12417","경기도 가평군 가평읍 광장로 10",", 가평중학교 (가평읍)","37.8275578854","127.5100659737","031-580-3000","031-582-5558","https://gapyeong-m.goegp.kr","남녀공학","N","","N"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000877","가평북중학교","03","공립","","N","단설","주간","19990901","19710109","4182035028","",".","","12407","경기도 가평군 북면 석장모루길 13",", 가평북중학교","37.8795295858","127.5481750061","031-581-0618","031-581-0651","gpb-m.goegp.kr","남녀공학","N","","N"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000878","설악중학교","03","공립","","N","병설","주간","19550525","19550417","4182031021","경기도 가평군 설악면 신천리","72.","477853","12465","경기도 가평군 설악면 한양부로 21-1",", 설악중학교 (설악면)","37.6812031517","127.492996389","031-584-7779","031-584-8479","https://seorak-m.goegp.kr","남녀공학","N","","N"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000879","조종중학교","03","공립","","N","병설","주간","19550601","19550503","4182034521","",".","","12438","경기도 가평군 조종면 연등윗길 22",", 조종중학교 (조종면)","37.814268603","127.3460117689","031-585-1126","031-584-3769","https://jojong-m.goegp.kr","남녀공학","N","","N"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000880","청평중학교","03","공립","","N","단설","주간","19540707","19540707","4182032521","경기도 가평군 청평면 청평1리","288번지.","477815","12451","경기도 가평군 청평면 골안길 7","(청평면)","37.7434320414","127.4221798853","031-584-2390","031-584-8688","https://chungpyung-m.goegp.kr","남녀공학","N","","N"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000944","가람중학교","03","공립","","N","단설","주간","19970301","19970301","4128112800","",".","","10493","경기도 고양시 덕양구 화신로 122","(행신동,가람중학교)","37.6236961992","126.8412132405","031-930-4821","031-973-2244","http://garam-m.goegy.kr/","남녀공학","N","","N"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000946","고양중학교","03","공립","","N","단설","주간","19470626","19470626","4128111100","",".","","10589","경기도 고양시 덕양구 동세로 82","(삼송동)","37.6495003453","126.8845900146","02-350-1115","02-381-6499","goyang-m.goegy.kr","남녀공학","N","","N"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000947","능곡중학교","03","공립","","N","단설","주간","19550901","19550901","4128112000","경기도 고양시 덕양구 토당동 301~400","394번지.","412818","10515","경기도 고양시 덕양구 행당로11번길 48","(토당동)","37.6229405483","126.8266838696","031-974-7006","031-974-7005","https://nunggok-m.goegy.kr/","남녀공학","N","","N"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산서구","S090000948","대화중학교","03","공립","","N","단설","주간","19950605","19941101","4128710400","경기도 고양시 일산서구 대화동","2230번지.","411805","10382","경기도 고양시 일산서구 고양대로 348","(대화동,대화중학교)","37.6739634942","126.7445702999","031-914-0524","031-914-0525","https://kgdaehwa-m.goegy.kr/kgdaehwa-m/main.do","남녀공학","N","","N"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000949","덕양중학교","03","공립","","N","단설","주간","19681015","19681015","4128112900","경기도 고양시 덕양구 화전동","274-3.","412160","10538","경기도 고양시 덕양구 중앙로176번길 18-29","(화전동)","37.6046504118","126.8717490919","02-3158-4896","02-3158-5351","www.dukyang.ms.kr","남녀공학","N","","N"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000950","무원중학교","03","공립","","N","단설","주간","19940901","19940901","4128112800","경기도 고양시 덕양구 행신동","695번지.","412220","10521","경기도 고양시 덕양구 무원로 45","(행신동)","37.6176953065","126.8306151015","031-974-9995","031-974-9998","muwon-m.goegy.kr","남녀공학","N","","N"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산서구","S090000951","발산중학교","03","공립","","N","단설","주간","19930111","19930111","4128710200","경기도 고양시 일산서구 주엽동","56번지.","411370","10361","경기도 고양시 일산서구 고봉로 99","(주엽동,발산중학교)","37.6698959192","126.7696746608","031-910-9999","031-910-9888","https://balsan-m.goegy.kr/","남녀공학","N","","N"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산동구","S090000952","백마중학교","03","공립","","N","단설","주간","19930601","19930601","4128510500","경기도 고양시 일산동구 마두동","733번지.","410350","10417","경기도 고양시 일산동구 강촌로 189","(마두동)","37.6551276294","126.7933279975","031-902-2813","031-902-2816","https://baekma-m.goegy.kr/","남녀공학","N","","N"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산동구","S090000953","백석중학교","03","공립","","N","단설","주간","19940301","19940301","4128510600","",".","","10448","경기도 고양시 일산동구 호수로 404","(백석동, 백석중학교)","37.6419833128","126.7828543098","031-960-6789","031-904-4075","https://baeksok-m.goegy.kr","남녀공학","N","","N"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산동구","S090000954","백신중학교","03","공립","","N","단설","주간","19920901","19920901","4128510500","경기도 고양시 일산동구 마두동","788.","104-15","10415","경기도 고양시 일산동구 강촌로 89","(마두동,백신중학교)","37.6513108375","126.7831580432","031-901-1741","031-901-1748","https://baeksin-m.goegy.kr/","남녀공학","N","","N"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000955","백양중학교","03","공립","","N","단설","주간","19951201","19951201","4128112300","",".","","10499","경기도 고양시 덕양구 화신로 236","(화정동,백양중학교)","37.6313582767","126.8360128689","031-971-4005","031-971-4007","https://baekyang-m.goegy.kr/baekyang-m/main.do","남녀공학","N","","N"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000956","고양제일중학교","03","사립","","N","단설","주간","19711015","19710129","4128111800","경기도 고양시 덕양구 관산동 301~349","332번지.","412803","10286","경기도 고양시 덕양구 통일로 820","(관산동,고양제일중학교)","37.6908467433","126.8600361598","031-969-8072","031-962-4722","https://gyji-m.goegy.kr","남녀공학","N","","N"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000957","신능중학교","03","공립","","N","단설","주간","19960901","19960901","4128112800","",".","","10518","경기도 고양시 덕양구 충장로",", 78 (행신동)","37.6196267626","126.8355266571","031-930-2823","031-973-2249","https://sinneung-m.goegy.kr/sinneung-m/main.do","남녀공학","N","","N"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산서구","S090000958","신일중학교","03","공립","","N","단설","주간","19940501","19940501","4128710100","경기도 고양시 일산서구 일산3동","1096번지.","411313","10356","경기도 고양시 일산서구 고봉로 177","(일산동)","37.6767882289","126.7742465892","031-912-4053","031-912-4054","https://shinil-m.goegy.kr/shinil-m/main.do","남녀공학","N","","N"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산서구","S090000959","오마중학교","03","공립","","N","단설","주간","19940506","19940506","4128710200","경기도 고양시 일산서구 주엽동","4번지.","411370","10371","경기도 고양시 일산서구 주엽로 213","(주엽동)","37.6776895525","126.7616021128","031-606-9113-5","031-606-9110","oma-m.goegy.kr","남녀공학","N","","N"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000960","원당중학교","03","공립","","N","단설","주간","19830116","19830116","4128110100","경기도 고양시 덕양구 주교동","527-5번지.","412809","10296","경기도 고양시 덕양구 마상로 1","(주교동)","37.6646219884","126.8231505687","031-960-1910","031-966-0934","wondang-m.goegy.kr","남녀공학","N","","N"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산서구","S090000961","일산동중학교","03","공립","","N","단설","주간","19941101","19941101","4128710300","경기도 고양시 일산서구 탄현동","1482번지.","411320","10240","경기도 고양시 일산서구 현중로 48","(탄현동,일산동중학교)","37.6953688467","126.7681037329","031-914-0212","031-914-0215","https://ilsandong-m.goegy.kr","남녀공학","N","","N"
