"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","1학년 학급수","1학년 학생수","1학년 학급당 학생수","2학년 학급수","2학년 학생수","2학년 학급당 학생수","3학년 학급수","3학년 학생수","3학년 학급당 학생수","특수학급 학급수","특수학급 학생수","특수학급 학급당 학생수","순회학급 학급수","순회학급 학생수","순회학급 학급당 학생수","학급수(계)","학생수(계)","학급당 학생수(계)","교사수","수업교원 1인당 학생수"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000445","가평고등학교","04","공립","N","","8","188","23.5","8","200","25","8","207","25.9","2","13","6.5","0","0","0","26","608","23.4","52","11.7"
"경기도교육청","경기도수원교육지원청","경기도 수원시 장안구","S090000447","경기과학고등학교","04","공립","N","","8","126","15.8","8","122","15.3","8","127","15.9","0","0","0","0","0","0","24","375","15.6","76","4.9"
"경기도교육청","경기도수원교육지원청","경기도 수원시 권선구","S090000448","경기대명고등학교","04","공립","N","","2","26","13","2","28","14","2","29","14.5","0","0","0","0","0","0","6","83","13.8","22","3.8"
"경기도교육청","경기도수원교육지원청","경기도 수원시 장안구","S090000449","경기체육고등학교","04","공립","N","","3","79","26.3","3","78","26","3","75","25","0","0","0","0","0","0","9","232","25.8","30","7.7"
"경기도교육청","경기도이천교육지원청","경기도 이천시","S090000450","이천세무고등학교","04","공립","N","","2","39","19.5","2","37","18.5","2","41","20.5","0","0","0","0","0","0","6","117","19.5","14","8.4"
"경기도교육청","경기도의정부교육지원청","경기도 의정부시","S090000451","경민고등학교","04","사립","N","","10","247","24.7","10","250","25","10","263","26.3","0","0","0","0","0","0","30","760","25.3","59","12.9"
"경기도교육청","경기도의정부교육지원청","경기도 의정부시","S090000453","경민비즈니스고등학교","04","사립","N","","9","176","19.6","9","164","18.2","9","157","17.4","0","0","0","0","0","0","27","497","18.4","57","8.7"
"경기도교육청","경기도의정부교육지원청","경기도 의정부시","S090000455","경민IT고등학교","04","사립","N","","8","175","21.9","8","174","21.8","8","190","23.8","0","0","0","0","0","0","24","539","22.5","51","10.6"
"경기도교육청","경기도안산교육지원청","경기도 안산시 단원구","S090000457","경안고등학교","04","사립","N","","12","290","24.2","12","300","25","13","317","24.4","0","0","0","0","0","0","37","907","24.5","70","13"
"경기도교육청","경기도안산교육지원청","경기도 안산시 단원구","S090000458","경일고등학교","04","사립","N","","12","251","20.9","12","238","19.8","12","225","18.8","0","0","0","0","0","0","36","714","19.8","80","8.9"
"경기도교육청","경기도광주하남교육지원청","경기도 광주시","S090000460","경화여자고등학교","04","사립","N","","11","358","32.5","11","314","28.5","11","347","31.5","0","0","0","0","0","0","33","1019","30.9","64","15.9"
"경기도교육청","경기도부천교육지원청","경기도 부천시 원미구","S090000463","계남고등학교","04","공립","N","","9","214","23.8","9","218","24.2","9","244","27.1","2","14","7","0","0","0","29","690","23.8","55","12.5"
"경기도교육청","경기도성남교육지원청","경기도 성남시 분당구","S090000466","계원예술고등학교","04","사립","N","","8","321","40.1","8","326","40.8","8","318","39.8","0","0","0","0","0","0","24","965","40.2","43","22.4"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산서구","S090000468","백송고등학교","04","사립","N","","5","125","25","5","124","24.8","5","127","25.4","0","0","0","0","0","0","15","376","25.1","29","13"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000469","고양외국어고등학교","04","사립","N","","10","263","26.3","10","236","23.6","10","221","22.1","0","0","0","0","0","0","30","720","24","62","11.6"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000470","고양고등학교","04","공립","N","","8","175","21.9","8","159","19.9","8","158","19.8","1","7","7","0","0","0","25","499","20","59","8.5"
"경기도교육청","경기도안산교육지원청","경기도 안산시 단원구","S090000471","고잔고등학교","04","공립","N","","11","268","24.4","11","278","25.3","12","302","25.2","2","14","7","0","0","0","36","862","23.9","68","12.7"
"경기도교육청","경기도안양과천교육지원청","경기도 과천시","S090000472","과천고등학교","04","공립","N","","8","176","22","8","162","20.3","8","177","22.1","2","12","6","0","0","0","26","527","20.3","53","9.9"
"경기도교육청","경기도안양과천교육지원청","경기도 과천시","S090000473","과천여자고등학교","04","사립","N","","6","97","16.2","6","108","18","6","98","16.3","0","0","0","0","0","0","18","303","16.8","35","8.7"
"경기도교육청","경기도안양과천교육지원청","경기도 과천시","S090000474","과천외국어고등학교","04","사립","N","","10","246","24.6","10","231","23.1","10","213","21.3","0","0","0","0","0","0","30","690","23","53","13"
"경기도교육청","경기도안양과천교육지원청","경기도 과천시","S090000475","과천중앙고등학교","04","공립","N","","8","182","22.8","8","181","22.6","8","171","21.4","1","7","7","0","0","0","25","541","21.6","48","11.3"
"경기도교육청","경기도안양과천교육지원청","경기도 안양시 동안구","S090000476","경기게임마이스터고등학교","04","공립","N","","4","71","17.8","4","58","14.5","4","73","18.3","1","3","3","0","0","0","13","205","15.8","29","7.1"
"경기도교육청","경기도안양과천교육지원청","경기도 안양시 동안구","S090000477","관양고등학교","04","공립","N","","12","291","24.3","12","314","26.2","12","303","25.3","1","5","5","0","0","0","37","913","24.7","72","12.7"
"경기도교육청","경기도포천교육지원청","경기도 포천시","S090000478","관인고등학교","04","공립","N","","2","23","11.5","1","15","15","2","24","12","1","3","3","0","0","0","6","65","10.8","15","4.3"
"경기도교육청","경기도구리남양주교육지원청","경기도 남양주시","S090000479","광동고등학교","04","사립","N","","12","374","31.2","12","373","31.1","12","363","30.3","0","0","0","0","0","0","36","1110","30.8","69","16.1"
"경기도교육청","경기도의정부교육지원청","경기도 의정부시","S090000480","의정부광동고등학교","04","사립","N","","9","217","24.1","9","219","24.3","9","239","26.6","0","0","0","0","0","0","27","675","25","54","12.5"
"경기도교육청","경기도광명교육지원청","경기도 광명시","S090000482","광명고등학교","04","공립","N","","11","286","26","11","285","25.9","11","296","26.9","2","13","6.5","0","0","0","35","880","25.1","67","13.1"
"경기도교육청","경기도광명교육지원청","경기도 광명시","S090000483","경기항공고등학교","04","사립","N","","4","79","19.8","4","56","14","4","65","16.3","0","0","0","0","0","0","12","200","16.7","26","7.7"
"경기도교육청","경기도광명교육지원청","경기도 광명시","S090000484","광명북고등학교","04","공립","N","","11","282","25.6","11","287","26.1","11","296","26.9","4","20","5","2","6","3","39","891","22.8","73","12.2"
"경기도교육청","경기도광명교육지원청","경기도 광명시","S090000487","명문고등학교","04","공립","N","","11","279","25.4","11","281","25.5","11","299","27.2","2","12","6","0","0","0","35","871","24.9","67","13"
"경기도교육청","경기도광명교육지원청","경기도 광명시","S090000488","창의경영고등학교","04","공립","N","","7","98","14","7","71","10.1","8","84","10.5","1","5","5","0","0","0","23","258","11.2","53","4.9"
"경기도교육청","경기도광명교육지원청","경기도 광명시","S090000489","광문고등학교","04","공립","N","","11","266","24.2","11","305","27.7","11","293","26.6","1","6","6","0","0","0","34","870","25.6","67","13"
"경기도교육청","경기도광주하남교육지원청","경기도 광주시","S090000490","광주고등학교","04","공립","N","","10","306","30.6","10","309","30.9","12","377","31.4","1","8","8","0","0","0","33","1000","30.3","64","15.6"
"경기도교육청","경기도광주하남교육지원청","경기도 광주시","S090000492","곤지암고등학교","04","공립","N","","6","138","23","6","153","25.5","6","149","24.8","1","3","3","0","0","0","19","443","23.3","36","12.3"
"경기도교육청","경기도광주하남교육지원청","경기도 광주시","S090000493","광주중앙고등학교","04","공립","N","","14","415","29.6","14","420","30","14","431","30.8","3","23","7.7","0","0","0","45","1289","28.6","88","14.6"
"경기도교육청","경기도파주교육지원청","경기도 파주시","S090000494","광탄고등학교","04","사립","N","","4","100","25","4","100","25","4","100","25","1","5","5","0","0","0","13","305","23.5","25","12.2"
"경기도교육청","경기도구리남양주교육지원청","경기도 구리시","S090000496","구리고등학교","04","공립","N","","8","210","26.3","8","184","23","9","236","26.2","0","0","0","0","0","0","25","630","25.2","48","13.1"
"경기도교육청","경기도구리남양주교육지원청","경기도 구리시","S090000497","구리여자고등학교","04","공립","N","","8","146","18.3","8","161","20.1","8","179","22.4","1","7","7","0","0","0","25","493","19.7","54","9.1"
"경기도교육청","경기도시흥교육지원청","경기도 시흥시","S090000499","군자디지털과학고등학교","04","공립","N","","8","138","17.3","8","109","13.6","8","113","14.1","3","18","6","1","4","4","28","382","13.6","61","6.3"
"경기도교육청","경기도군포의왕교육지원청","경기도 군포시","S090000502","군포고등학교","04","사립","N","","10","240","24","10","258","25.8","11","289","26.3","0","0","0","0","0","0","31","787","25.4","59","13.3"
"경기도교육청","경기도군포의왕교육지원청","경기도 군포시","S090000504","군포e비즈니스고등학교","04","공립","N","","8","146","18.3","8","122","15.3","9","105","11.7","2","13","6.5","2","8","4","29","394","13.6","63","6.3"
"경기도교육청","경기도수원교육지원청","경기도 수원시 권선구","S090000505","권선고등학교","04","공립","N","","12","303","25.3","12","333","27.8","12","350","29.2","3","21","7","0","0","0","39","1007","25.8","76","13.3"
"경기도교육청","경기도안양과천교육지원청","경기도 안양시 만안구","S090000507","근명고등학교","04","사립","N","","8","169","21.1","8","165","20.6","9","186","20.7","0","0","0","0","0","0","25","520","20.8","54","9.6"
"경기도교육청","경기도구리남양주교육지원청","경기도 남양주시","S090000508","금곡고등학교","04","공립","N","","10","207","20.7","12","256","21.3","12","290","24.2","0","0","0","0","0","0","34","753","22.1","69","10.9"
"경기도교육청","경기도용인교육지원청","경기도 용인시 기흥구","S090000509","기흥고등학교","04","공립","N","","11","319","29","11","336","30.5","11","363","33","1","8","8","0","0","0","34","1026","30.2","65","15.8"
"경기도교육청","경기도김포교육지원청","경기도 김포시","S090000510","김포고등학교","04","공립","N","","10","312","31.2","10","332","33.2","11","371","33.7","1","2","2","0","0","0","32","1017","31.8","60","17"
"경기도교육청","경기도김포교육지원청","경기도 김포시","S090000511","김포과학기술고등학교","04","공립","N","","8","150","18.8","8","143","17.9","8","161","20.1","1","5","5","0","0","0","25","459","18.4","57","8.1"
"경기도교육청","경기도성남교육지원청","경기도 성남시 분당구","S090000515","낙생고등학교","04","사립","N","","10","259","25.9","10","278","27.8","10","280","28","0","0","0","0","0","0","30","817","27.2","59","13.8"
"경기도교육청","경기도동두천양주교육지원청","경기도 양주시","S090000517","한국외식과학고등학교","04","사립","N","","4","92","23","4","81","20.3","4","91","22.8","0","0","0","0","0","0","12","264","22","26","10.2"
"경기도교육청","경기도화성오산교육지원청","","S090000518","남양고등학교","04","공립","N","","7","225","32.1","7","222","31.7","7","223","31.9","1","8","8","1","5","5","23","683","29.7","44","15.5"
"경기도교육청","경기도구리남양주교육지원청","경기도 남양주시","S090000519","남양주고등학교","04","공립","N","","8","141","17.6","7","114","16.3","6","89","14.8","2","15","7.5","0","0","0","23","359","15.6","47","7.6"
"경기도교육청","경기도광주하남교육지원청","경기도 하남시","S090000520","남한고등학교","04","공립","N","","9","251","27.9","9","241","26.8","10","282","28.2","2","11","5.5","0","0","0","30","785","26.2","58","13.5"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000521","능곡고등학교","04","공립","N","","10","237","23.7","11","235","21.4","11","230","20.9","0","0","0","0","0","0","32","702","21.9","61","11.5"
"경기도교육청","경기도안산교육지원청","경기도 안산시 단원구","S090000524","대부고등학교","04","공립","N","","1","14","14","1","24","24","1","10","10","1","6","6","2","7","3.5","6","61","10.2","14","4.4"
"경기도교육청","경기도여주교육지원청","경기도 여주시","S090000525","대신고등학교","04","사립","N","","3","80","26.7","3","80","26.7","3","84","28","1","2","2","0","0","0","10","246","24.6","20","12.3"
"경기도교육청","경기도수원교육지원청","경기도 수원시 장안구","S090000527","대평고등학교","04","공립","N","","10","238","23.8","10","261","26.1","10","280","28","1","7","7","0","0","0","31","786","25.4","64","12.3"
"경기도교육청","경기도부천교육지원청","경기도 부천시 오정구","S090000528","덕산고등학교","04","공립","N","","7","123","17.6","8","171","21.4","8","184","23","1","7","7","1","3","3","25","488","19.5","47","10.4"
"경기도교육청","경기도구리남양주교육지원청","경기도 남양주시","S090000529","덕소고등학교","04","사립","N","","12","370","30.8","12","361","30.1","12","364","30.3","0","0","0","0","0","0","36","1095","30.4","69","15.9"
"경기도교육청","경기도동두천양주교육지원청","경기도 양주시","S090000532","덕정고등학교","04","공립","N","","9","242","26.9","9","279","31","9","267","29.7","2","12","6","0","0","0","29","800","27.6","61","13.1"
"경기도교육청","경기도부천교육지원청","경기도 부천시 원미구","S090000533","도당고등학교","04","공립","N","","9","212","23.6","9","218","24.2","9","235","26.1","1","7","7","0","0","0","28","672","24","55","12.2"
"경기도교육청","경기도포천교육지원청","경기도 포천시","S090000534","동남고등학교","04","사립","N","","10","210","21","10","218","21.8","10","229","22.9","1","8","8","0","0","0","31","665","21.5","61","10.9"
"경기도교육청","경기도동두천양주교육지원청","경기도 동두천시","S090000536","동두천고등학교","04","사립","N","","5","130","26","5","127","25.4","5","132","26.4","0","0","0","0","0","0","15","389","25.9","29","13.4"
"경기도교육청","경기도동두천양주교육지원청","경기도 동두천시","S090000538","한국문화영상고등학교","04","사립","N","","6","134","22.3","6","124","20.7","6","139","23.2","0","0","0","0","0","0","18","397","22.1","37","10.7"
"경기도교육청","경기도동두천양주교육지원청","경기도 동두천시","S090000539","동두천중앙고등학교","04","공립","N","","7","155","22.1","7","136","19.4","7","160","22.9","3","16","5.3","1","2","2","25","469","18.8","51","9.2"
"경기도교육청","경기도안양과천교육지원청","경기도 안양시 동안구","S090000541","동안고등학교","04","공립","N","","13","325","25","13","354","27.2","13","347","26.7","0","0","0","0","0","0","39","1026","26.3","76","13.5"
"경기도교육청","경기도수원교육지원청","경기도 수원시 장안구","S090000542","동우여자고등학교","04","사립","N","","0","0","0","9","215","23.9","10","240","24","0","0","0","0","0","0","19","455","23.9","37","12.3"
"경기도교육청","경기도수원교육지원청","경기도 수원시 장안구","S090000543","동원동우고등학교","04","사립","N","","16","389","24.3","10","253","25.3","11","274","24.9","0","0","0","0","0","0","37","916","24.8","71","12.9"
"경기도교육청","경기도평택교육지원청","경기도 평택시","S090000544","동일공업고등학교","04","사립","N","","10","233","23.3","10","262","26.2","10","262","26.2","0","0","0","0","0","0","30","757","25.2","70","10.8"
"경기도교육청","경기도구리남양주교육지원청","경기도 남양주시","S090000545","동화고등학교","04","사립","N","","15","457","30.5","15","463","30.9","15","455","30.3","0","0","0","0","0","0","45","1375","30.6","87","15.8"
"경기도교육청","경기도화성오산교육지원청","","S090000546","두레자연고등학교","04","사립","N","","2","41","20.5","2","40","20","2","40","20","0","0","0","0","0","0","6","121","20.2","16","7.6"
"경기도교육청","경기도이천교육지원청","경기도 이천시","S090000548","마장고등학교","04","공립","N","","4","87","21.8","4","76","19","4","75","18.8","1","3","3","0","0","0","13","241","18.5","28","8.6"
"경기도교육청","경기도수원교육지원청","경기도 수원시 팔달구","S090000552","매향여자정보고등학교","04","사립","N","","10","210","21","10","200","20","10","206","20.6","0","0","0","0","0","0","30","616","20.5","68","9.1"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000553","무원고등학교","04","공립","N","","11","241","21.9","11","249","22.6","11","265","24.1","1","7","7","0","0","0","34","762","22.4","65","11.7"
"경기도교육청","경기도파주교육지원청","경기도 파주시","S090000554","문산고등학교","04","공립","N","","5","122","24.4","5","107","21.4","5","129","25.8","2","11","5.5","0","0","0","17","369","21.7","32","11.5"
"경기도교육청","경기도파주교육지원청","경기도 파주시","S090000555","문산수억고등학교","04","사립","N","","9","197","21.9","10","236","23.6","10","231","23.1","1","9","9","0","0","0","30","673","22.4","59","11.4"
"경기도교육청","경기도파주교육지원청","경기도 파주시","S090000556","문산제일고등학교","04","공립","N","","10","259","25.9","10","252","25.2","11","286","26","3","17","5.7","0","0","0","34","814","23.9","65","12.5"
"경기도교육청","경기도안산교육지원청","경기도 안산시 상록구","S090000558","경기모바일과학고등학교","04","공립","N","","8","137","17.1","8","120","15","8","137","17.1","1","5","5","0","0","0","25","399","16","52","7.7"
"경기도교육청","경기도화성오산교육지원청","경기도 화성시 만세구","S090000559","발안바이오과학고등학교","04","공립","N","","5","125","25","5","121","24.2","4","104","26","0","0","0","0","0","0","14","350","25","31","11.3"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산동구","S090000563","백마고등학교","04","공립","N","","11","263","23.9","11","280","25.5","11","292","26.5","0","0","0","0","0","0","33","835","25.3","64","13"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산동구","S090000564","백석고등학교","04","공립","N","","11","254","23.1","11","252","22.9","11","280","25.5","0","0","0","0","0","0","33","786","23.8","65","12.1"
