"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","상담실적(내부상담전문가)","상담실적(내부상담전문가실시여부)","상담실적(외부상담전문가)","상담실적(외부상담전문가실시여부)"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000881","가평마장초등학교","02","공립","N","","0","N","102","Y"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000882","가평초등학교","02","공립","N","","733","Y","221","Y"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000885","대성초등학교","02","공립","N","","0","N","63","Y"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000890","목동초등학교","02","공립","N","","0","N","72","Y"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000892","목동초등학교명지분교장","02","공립","N","","0","N","0","N"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000895","미원초등학교","02","공립","N","","0","N","43","Y"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000899","미원초등학교위곡분교장","02","공립","Y","본교에서 분교장 데이터 포함하여 통합 공시","","","",""
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000900","미원초등학교장락분교장","02","공립","Y","분교 제외","","","",""
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000901","방일초등학교","02","공립","N","","0","N","27","Y"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000905","상면초등학교","02","공립","N","","0","N","0","N"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000906","상색초등학교","02","공립","N","","0","N","30","Y"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000908","상천초등학교","02","공립","N","","0","N","45","Y"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000910","연하초등학교","02","공립","N","","0","N","70","Y"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000914","율길초등학교","02","공립","N","","0","N","0","N"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000916","조종초등학교","02","공립","N","","0","N","174","Y"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000920","청평초등학교","02","공립","N","","0","N","52","Y"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000974","가람초등학교","02","공립","N","","223","Y","2","Y"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산서구","S090000975","강선초등학교","02","공립","N","","0","N","43","Y"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산동구","S090000976","고봉초등학교","02","공립","N","","0","N","0","N"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산동구","S090000977","고양백석초등학교","02","공립","N","","0","N","40","Y"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산서구","S090000978","고양신일초등학교","02","공립","N","","0","N","1","Y"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000979","고양용현초등학교","02","공립","N","","0","N","54","Y"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000980","고양초등학교","02","공립","N","","550","Y","24","Y"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000981","고양화수초등학교","02","공립","N","","357","Y","0","N"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000982","고양화정초등학교","02","공립","N","","376","Y","0","N"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산동구","S090000983","금계초등학교","02","공립","N","","478","Y","8","Y"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산동구","S090000984","낙민초등학교","02","공립","N","","0","N","0","N"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000985","내유초등학교","02","공립","N","","1046","Y","1","Y"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산동구","S090000986","냉천초등학교","02","공립","N","","0","N","0","N"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000987","능곡초등학교","02","공립","N","","440","Y","0","N"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000988","대곡초등학교","02","공립","N","","0","N","10","Y"
