"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","상담실적(내부상담전문가)","상담실적(내부상담전문가실시여부)","상담실적(외부상담전문가)","상담실적(외부상담전문가실시여부)","교내 WEE클래스 설치여부"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000876","가평중학교","03","공립","N","","219","Y","25","Y","Y"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000877","가평북중학교","03","공립","N","","167","Y","1","Y","Y"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000878","설악중학교","03","공립","N","","221","Y","7","Y","N"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000879","조종중학교","03","공립","N","","307","Y","21","Y","Y"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000880","청평중학교","03","공립","N","","259","Y","72","Y","Y"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000944","가람중학교","03","공립","N","","401","Y","28","Y","Y"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000946","고양중학교","03","공립","N","","567","Y","16","Y","Y"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000947","능곡중학교","03","공립","N","","423","Y","15","Y","Y"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산서구","S090000948","대화중학교","03","공립","N","","648","Y","21","Y","Y"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000949","덕양중학교","03","공립","N","","516","Y","25","Y","Y"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000950","무원중학교","03","공립","N","","327","Y","56","Y","Y"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산서구","S090000951","발산중학교","03","공립","N","","269","Y","9","Y","Y"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산동구","S090000952","백마중학교","03","공립","N","","285","Y","25","Y","Y"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산동구","S090000953","백석중학교","03","공립","N","","288","Y","32","Y","Y"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산동구","S090000954","백신중학교","03","공립","N","","533","Y","0","N","Y"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000955","백양중학교","03","공립","N","","611","Y","0","N","Y"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000956","고양제일중학교","03","사립","N","","658","Y","0","N","Y"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000957","신능중학교","03","공립","N","","315","Y","15","Y","Y"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산서구","S090000958","신일중학교","03","공립","N","","342","Y","18","Y","Y"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산서구","S090000959","오마중학교","03","공립","N","","522","Y","2","Y","Y"
