"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","동아리수","참여학생수","지도교사수","자원봉사 또는외부강사수","동아리활동 예산지원현황","동아리수","참여학생수","지도교사수","자원봉사 또는외부강사수","동아리활동 예산지원현황"
"경기도교육청","경기도교육청","경기도 가평군","S090000445","가평고등학교","04","공립","N","","42","577","47","4","24900000","1","5","1","0","0"
"경기도교육청","경기도교육청","경기도 수원시 장안구","S090000447","경기과학고등학교","04","공립","N","","26","378","73","0","8270000","0","0","0","0","0"
"경기도교육청","경기도교육청","경기도 수원시 권선구","S090000448","경기대명고등학교","04","공립","N","","11","70","11","0","1000000","0","0","0","0","0"
"경기도교육청","경기도교육청","경기도 수원시 장안구","S090000449","경기체육고등학교","04","공립","N","","26","484","26","0","0","2","9","2","0","0"
"경기도교육청","경기도교육청","경기도 이천시","S090000450","이천세무고등학교","04","공립","N","","15","144","15","0","2400000","10","114","10","0","1600000"
"경기도교육청","경기도교육청","경기도 의정부시","S090000451","경민고등학교","04","사립","N","","41","715","49","0","22500000","1","11","1","0","0"
"경기도교육청","경기도교육청","경기도 의정부시","S090000453","경민비즈니스고등학교","04","사립","N","","43","443","50","0","5200000","4","68","4","0","2000000"
"경기도교육청","경기도교육청","경기도 의정부시","S090000455","경민IT고등학교","04","사립","N","","48","537","48","3","46820000","28","269","28","1","34934000"
"경기도교육청","경기도교육청","경기도 안산시 단원구","S090000457","경안고등학교","04","사립","N","","74","936","75","1","0","0","0","0","0","0"
"경기도교육청","경기도교육청","경기도 안산시 단원구","S090000458","경일고등학교","04","사립","N","","36","724","36","0","2000000","75","674","75","1","1000000"
"경기도교육청","경기도교육청","경기도 광주시","S090000460","경화여자고등학교","04","사립","N","","59","905","66","8","1000000","1","13","1","0","0"
"경기도교육청","경기도교육청","경기도 부천시 원미구","S090000463","계남고등학교","04","공립","N","","53","694","53","1","11128000","0","0","0","0","0"
"경기도교육청","경기도교육청","경기도 성남시 분당구","S090000466","계원예술고등학교","04","사립","N","","53","894","71","0","4000000","12","495","12","0","3500000"
"경기도교육청","경기도교육청","경기도 고양시 일산서구","S090000468","백송고등학교","04","사립","N","","28","364","28","0","4500000","1","5","1","0","0"
"경기도교육청","경기도교육청","경기도 고양시 덕양구","S090000469","고양외국어고등학교","04","사립","N","","35","621","52","0","4000000","0","0","0","0","0"
"경기도교육청","경기도교육청","경기도 고양시 덕양구","S090000470","고양고등학교","04","공립","N","","50","516","50","0","10400000","3","28","3","0","0"
"경기도교육청","경기도교육청","경기도 안산시 단원구","S090000471","고잔고등학교","04","공립","N","","62","880","62","0","9200000","0","0","0","0","0"
"경기도교육청","경기도교육청","경기도 과천시","S090000472","과천고등학교","04","공립","N","","36","570","44","2","12900000","0","0","0","0","0"
"경기도교육청","경기도교육청","경기도 과천시","S090000473","과천여자고등학교","04","사립","N","","22","323","24","0","10250000","2","22","2","0","0"
"경기도교육청","경기도교육청","경기도 과천시","S090000474","과천외국어고등학교","04","사립","N","","31","622","43","0","6000000","7","62","7","0","0"
"경기도교육청","경기도교육청","경기도 과천시","S090000475","과천중앙고등학교","04","공립","N","","31","519","40","0","9150000","5","56","5","0","1000000"
"경기도교육청","경기도교육청","경기도 안양시 동안구","S090000476","경기게임마이스터고등학교","04","공립","N","","17","154","26","6","13000000","3","66","3","0","0"
"경기도교육청","경기도교육청","경기도 안양시 동안구","S090000477","관양고등학교","04","공립","N","","51","932","55","0","10730000","0","0","0","0","0"
"경기도교육청","경기도교육청","경기도 포천시","S090000478","관인고등학교","04","공립","N","","10","89","10","0","8600000","0","0","0","0","0"
"경기도교육청","경기도교육청","경기도 남양주시","S090000479","광동고등학교","04","사립","N","","70","1076","71","0","1500000","5","35","5","0","0"
"경기도교육청","경기도교육청","경기도 의정부시","S090000480","의정부광동고등학교","04","사립","N","","55","676","55","0","6800000","0","0","0","0","0"
"경기도교육청","경기도교육청","경기도 광명시","S090000482","광명고등학교","04","공립","N","","49","879","53","11","21960000","0","0","0","0","0"
"경기도교육청","경기도교육청","경기도 광명시","S090000483","경기항공고등학교","04","사립","N","","20","226","20","1","3000000","0","0","0","0","0"
"경기도교육청","경기도교육청","경기도 광명시","S090000484","광명북고등학교","04","공립","N","","50","859","71","0","6300000","0","0","0","0","0"
"경기도교육청","경기도교육청","경기도 광명시","S090000487","명문고등학교","04","공립","N","","51","884","53","2","3000000","0","0","0","0","0"
"경기도교육청","경기도교육청","경기도 광명시","S090000488","창의경영고등학교","04","공립","N","","34","297","45","0","5250000","3","18","3","0","0"
"경기도교육청","경기도교육청","경기도 광명시","S090000489","광문고등학교","04","공립","N","","58","867","64","0","10050000","1","11","1","0","0"
"경기도교육청","경기도교육청","경기도 광주시","S090000490","광주고등학교","04","공립","N","","58","935","61","0","20000000","3","31","3","0","0"
"경기도교육청","경기도교육청","경기도 광주시","S090000492","곤지암고등학교","04","공립","N","","37","405","40","0","26000000","0","0","0","0","0"
"경기도교육청","경기도교육청","경기도 광주시","S090000493","광주중앙고등학교","04","공립","N","","61","1237","78","0","19038150","7","95","9","0","900000"
"경기도교육청","경기도교육청","경기도 파주시","S090000494","광탄고등학교","04","사립","N","","26","288","26","0","5043000","1","5","1","0","0"
"경기도교육청","경기도교육청","경기도 구리시","S090000496","구리고등학교","04","공립","N","","38","620","48","0","12500000","1","17","1","0","0"
"경기도교육청","경기도교육청","경기도 구리시","S090000497","구리여자고등학교","04","공립","N","","48","561","48","0","2500000","2","23","2","0","0"
"경기도교육청","경기도교육청","경기도 시흥시","S090000499","군자디지털과학고등학교","04","공립","N","","48","383","54","0","3100000","0","0","0","0","0"
"경기도교육청","경기도교육청","경기도 군포시","S090000502","군포고등학교","04","사립","N","","48","862","48","0","18000000","2","30","2","0","400000"
"경기도교육청","경기도교육청","경기도 군포시","S090000504","군포e비즈니스고등학교","04","공립","N","","40","323","50","0","0","2","21","2","0","0"
"경기도교육청","경기도교육청","경기도 수원시 권선구","S090000505","권선고등학교","04","공립","N","","70","971","70","0","3500000","0","0","0","0","0"
"경기도교육청","경기도교육청","경기도 안양시 만안구","S090000507","근명고등학교","04","사립","N","","51","626","55","3","35900000","5","81","5","0","13000000"
"경기도교육청","경기도교육청","경기도 남양주시","S090000508","금곡고등학교","04","공립","N","","69","846","69","2","10500000","1","15","2","0","500000"
"경기도교육청","경기도교육청","경기도 용인시 기흥구","S090000509","기흥고등학교","04","공립","N","","55","976","55","0","5000000","5","51","5","0","0"
"경기도교육청","경기도교육청","경기도 김포시","S090000510","김포고등학교","04","공립","N","","46","1055","56","0","10400000","0","0","0","0","0"
"경기도교육청","경기도교육청","경기도 김포시","S090000511","김포과학기술고등학교","04","공립","N","","43","546","45","12","21100000","6","32","6","0","0"
"경기도교육청","경기도교육청","경기도 성남시 분당구","S090000515","낙생고등학교","04","사립","N","","40","787","61","0","4950000","0","0","0","0","0"
"경기도교육청","경기도교육청","경기도 양주시","S090000517","한국외식과학고등학교","04","사립","N","","28","281","28","0","0","20","279","20","0","30900000"
"경기도교육청","경기도교육청","","S090000518","남양고등학교","04","공립","N","","37","602","41","0","12320000","6","55","6","0","1180000"
"경기도교육청","경기도교육청","경기도 남양주시","S090000519","남양주고등학교","04","공립","N","","41","339","41","0","3000000","4","34","4","0","5000000"
"경기도교육청","경기도교육청","경기도 하남시","S090000520","남한고등학교","04","공립","N","","54","648","56","0","17600000","0","0","0","0","0"
"경기도교육청","경기도교육청","경기도 고양시 덕양구","S090000521","능곡고등학교","04","공립","N","","47","713","67","0","16600000","0","0","0","0","0"
"경기도교육청","경기도교육청","경기도 안산시 단원구","S090000524","대부고등학교","04","공립","N","","10","44","12","3","6000000","4","12","4","0","600000"
"경기도교육청","경기도교육청","경기도 여주시","S090000525","대신고등학교","04","사립","N","","24","245","24","0","1665000","2","44","2","0","0"
"경기도교육청","경기도교육청","경기도 수원시 장안구","S090000527","대평고등학교","04","공립","N","","47","785","57","1","5000000","0","0","0","0","0"
"경기도교육청","경기도교육청","경기도 부천시 오정구","S090000528","덕산고등학교","04","공립","N","","46","583","48","1","14170000","0","0","0","0","0"
"경기도교육청","경기도교육청","경기도 남양주시","S090000529","덕소고등학교","04","사립","N","","51","1082","69","0","4000000","0","0","0","0","0"
"경기도교육청","경기도교육청","경기도 양주시","S090000532","덕정고등학교","04","공립","N","","42","767","54","0","9000000","1","5","1","0","1000000"
"경기도교육청","경기도교육청","경기도 부천시 원미구","S090000533","도당고등학교","04","공립","N","","51","650","51","0","6600000","1","4","1","0","0"
"경기도교육청","경기도교육청","경기도 포천시","S090000534","동남고등학교","04","사립","N","","54","669","56","0","1000000","0","0","0","0","0"
"경기도교육청","경기도교육청","경기도 동두천시","S090000536","동두천고등학교","04","사립","N","","24","375","28","6","36600000","3","22","3","0","0"
"경기도교육청","경기도교육청","경기도 동두천시","S090000538","한국문화영상고등학교","04","사립","N","","41","395","41","0","0","5","131","7","0","0"
"경기도교육청","경기도교육청","경기도 동두천시","S090000539","동두천중앙고등학교","04","공립","N","","31","457","44","0","10000000","3","28","3","0","0"
"경기도교육청","경기도교육청","경기도 안양시 동안구","S090000541","동안고등학교","04","공립","N","","53","761","67","0","12000000","0","0","0","0","0"
"경기도교육청","경기도교육청","경기도 수원시 장안구","S090000542","동우여자고등학교","04","사립","N","","37","755","37","0","2000000","44","144","44","0","800000"
"경기도교육청","경기도교육청","경기도 수원시 장안구","S090000543","동원동우고등학교","04","사립","N","","40","809","44","3","14000000","0","0","0","0","0"
"경기도교육청","경기도교육청","경기도 평택시","S090000544","동일공업고등학교","04","사립","N","","59","789","67","1","3365000","13","123","20","0","0"
"경기도교육청","경기도교육청","경기도 남양주시","S090000545","동화고등학교","04","사립","N","","88","1289","96","0","19000000","0","0","0","0","0"
"경기도교육청","경기도교육청","","S090000546","두레자연고등학교","04","사립","N","","18","116","19","0","20880000","15","216","15","8","6000000"
"경기도교육청","경기도교육청","경기도 이천시","S090000548","마장고등학교","04","공립","N","","13","194","21","0","3900000","2","27","2","1","600000"
"경기도교육청","경기도교육청","경기도 수원시 팔달구","S090000552","매향여자정보고등학교","04","사립","N","","65","712","65","0","0","9","204","9","0","0"
"경기도교육청","경기도교육청","경기도 고양시 덕양구","S090000553","무원고등학교","04","공립","N","","62","763","62","1","17900000","0","0","0","0","0"
"경기도교육청","경기도교육청","경기도 파주시","S090000554","문산고등학교","04","공립","N","","29","345","33","0","1600000","3","18","3","0","900000"
"경기도교육청","경기도교육청","경기도 파주시","S090000555","문산수억고등학교","04","사립","N","","44","685","63","0","0","4","76","4","0","0"
"경기도교육청","경기도교육청","경기도 파주시","S090000556","문산제일고등학교","04","공립","N","","61","769","61","1","11084100","8","107","8","0","715900"
"경기도교육청","경기도교육청","경기도 안산시 상록구","S090000558","경기모바일과학고등학교","04","공립","N","","43","390","43","0","4496000","29","276","29","16","32100000"
"경기도교육청","경기도교육청","경기도 화성시 만세구","S090000559","발안바이오과학고등학교","04","공립","N","","29","306","29","0","1500000","25","357","25","0","54196000"
"경기도교육청","경기도교육청","경기도 고양시 일산동구","S090000563","백마고등학교","04","공립","N","","52","838","52","1","10020800","42","556","42","1","5200000"
"경기도교육청","경기도교육청","경기도 고양시 일산동구","S090000564","백석고등학교","04","공립","N","","43","828","54","0","23724300","0","0","0","0","0"
"경기도교육청","경기도교육청","경기도 고양시 일산동구","S090000565","백신고등학교","04","공립","N","","51","822","56","0","6890000","0","0","0","0","0"
"경기도교육청","경기도교육청","경기도 용인시 처인구","S090000566","백암고등학교","04","공립","N","","22","187","19","5","16500000","5","37","5","0","1000000"
"경기도교육청","경기도교육청","경기도 고양시 덕양구","S090000567","백양고등학교","04","공립","N","","50","778","62","0","6260000","0","0","0","0","0"
"경기도교육청","경기도교육청","경기도 안양시 동안구","S090000568","백영고등학교","04","사립","N","","57","391","59","0","13800000","1","16","1","0","0"
"경기도교육청","경기도교육청","경기도 의왕시","S090000569","백운고등학교","04","공립","N","","46","811","57","0","8000000","0","0","0","0","0"
"경기도교육청","경기도교육청","경기도 동두천시","S090000572","한빛누리고등학교","04","사립","N","","34","460","39","0","3506800","14","101","14","0","350000"
"경기도교육청","경기도교육청","경기도 부천시 원미구","S090000576","부명고등학교","04","공립","N","","45","712","46","1","6020000","0","0","0","0","0"
"경기도교육청","경기도교육청","경기도 부천시 원미구","S090000577","경기국제통상고등학교","04","공립","N","","36","433","53","7","8700000","4","42","4","0","300000"
