"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","교장(남)","교장(여)","교장(계)","교감(남)","교감(여)","교감(계)","수석교사(남)","수석교사(여)","수석교사(계)","정교사(1정)(남)","정교사(1정)(여)","정교사(1정)(계)","정교사(2정)(남)","정교사(2정)(여)","정교사(2정)(계)","특수1정(남)","특수1정(여)","특수1정(계)","특수2정(남)","특수2정(여)","특수2정(계)","준교사(남)","준교사(여)","준교사(계)","실기교사(남)","실기교사(여)","실기교사(계)","전문상담교사(남)","전문상담교사(여)","전문상담교사(계)","사서교사(남)","사서교사(여)","사서교사(계)","보건교사(남)","보건교사(여)","보건교사(계)","영양교사(남)","영양교사(여)","영양교사(계)","해당없음(남)","해당없음(여)","해당없음(계)","계(남)","계(여)","계"
"경기도교육청","경기도교육청","경기도 가평군","S090000445","가평고등학교","04","공립","N","","0","1","1","1","0","1","1","0","1","7","15","22","8","20","28","0","2","2","1","1","2","0","0","0","0","0","0","0","1","1","0","1","1","0","1","1","0","0","0","0","0","0","18","42","60"
"경기도교육청","경기도교육청","경기도 수원시 장안구","S090000447","경기과학고등학교","04","공립","N","","0","0","0","1","0","1","0","0","0","41","36","77","1","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","1","0","1","1","0","1","1","0","0","0","43","41","84"
"경기도교육청","경기도교육청","경기도 수원시 권선구","S090000448","경기대명고등학교","04","공립","N","","1","0","1","1","0","1","0","0","0","9","9","18","0","2","2","0","0","0","0","0","0","0","0","0","0","1","1","0","1","1","0","0","0","0","1","1","0","1","1","2","2","4","13","17","30"
"경기도교육청","경기도교육청","경기도 수원시 장안구","S090000449","경기체육고등학교","04","공립","N","","1","0","1","1","0","1","0","0","0","16","13","29","2","2","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","2","2","0","0","0","20","18","38"
"경기도교육청","경기도교육청","경기도 이천시","S090000450","이천세무고등학교","04","공립","N","","1","0","1","1","0","1","0","0","0","9","3","12","2","2","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","13","6","19"
"경기도교육청","경기도교육청","경기도 의정부시","S090000451","경민고등학교","04","사립","N","","1","0","1","1","0","1","0","0","0","30","17","47","6","9","15","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","1","0","1","1","0","0","0","38","29","67"
"경기도교육청","경기도교육청","경기도 의정부시","S090000453","경민비즈니스고등학교","04","사립","N","","1","0","1","1","0","1","0","0","0","20","25","45","3","6","9","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","2","2","0","2","2","0","0","0","25","36","61"
"경기도교육청","경기도교육청","경기도 의정부시","S090000455","경민IT고등학교","04","사립","N","","1","0","1","0","1","1","0","0","0","27","16","43","2","8","10","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","4","4","0","0","0","0","0","0","31","29","60"
"경기도교육청","경기도교육청","경기도 안산시 단원구","S090000457","경안고등학교","04","사립","N","","1","0","1","1","0","1","1","0","1","43","22","65","8","3","11","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","1","0","1","1","0","0","0","0","0","0","54","28","82"
"경기도교육청","경기도교육청","경기도 안산시 단원구","S090000458","경일고등학교","04","사립","N","","1","0","1","1","0","1","0","0","0","24","35","59","9","18","27","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","1","0","1","1","0","1","1","0","0","0","35","57","92"
