"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","교장(남)","교장(여)","교장(휴직교원)","교장(계)","교감(남)","교감(여)","교감(휴직교원)","교감(계)","수석교사(남)","수석교사(여)","수석교사(휴직교원)","수석교사(계)","보직교사(남)","보직교사(여)","보직교사(휴직교원)","보직교사(계)","일반교사(남)","일반교사(여)","일반교사(휴직교원)","일반교사(계)","특수교사(남)","특수교사(여)","특수교사(휴직교원)","특수교사(계)","전문상담교사(남)","전문상담교사(여)","전문상담교사(휴직교원)","전문상담교사(계)","사서교사(남)","사서교사(여)","사서교사(휴직교원)","사서교사(계)","실기교사(남)","실기교사(여)","실기교사(휴직교원)","실기교사(계)","보건교사(남)","보건교사(여)","보건교사(휴직교원)","보건교사(계)","영양교사(남)","영양교사(여)","영양교사(휴직교원)","영양교사(계)","기간제교사(남)","기간제교사(여)","기간제교사(휴직교원)","기간제교사(계)","강사(남)","강사(여)","강사(휴직교원)","강사(계)","총계(남)","총계(여)","총계(휴직교원)","총계(계)","원어민강사(남)","원어민강사(여)","원어민강사(계)","휴직교원수"
"경기도교육청","경기도교육청","경기도 가평군","S090000445","가평고등학교","04","공립","N","","0","1","0","1","1","0","0","1","1","0","0","1","4","6","0","10","8","25","3","33","0","3","1","3","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","4","4","0","8","0","1","0","1","18","42","4","60","0","0","0","4"
"경기도교육청","경기도교육청","경기도 수원시 장안구","S090000447","경기과학고등학교","04","공립","N","","1","0","0","1","1","0","0","1","0","0","0","0","9","5","0","14","31","29","5","60","0","0","0","0","0","1","0","1","0","1","0","1","0","0","0","0","0","1","0","1","0","1","0","1","1","3","0","4","0","0","0","0","43","41","5","84","0","0","0","5"
"경기도교육청","경기도교육청","경기도 수원시 권선구","S090000448","경기대명고등학교","04","공립","N","","1","0","0","1","1","0","0","1","0","0","0","0","4","1","0","5","2","8","1","10","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","3","3","0","6","2","3","0","5","13","17","1","30","0","0","0","1"
"경기도교육청","경기도교육청","경기도 수원시 장안구","S090000449","경기체육고등학교","04","공립","N","","1","0","0","1","1","0","0","1","0","0","0","0","8","3","0","11","8","11","2","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","2","0","2","2","1","0","3","0","0","0","0","20","18","2","38","0","0","0","2"
"경기도교육청","경기도교육청","경기도 이천시","S090000450","이천세무고등학교","04","공립","N","","1","0","0","1","1","0","0","1","0","0","0","0","3","2","0","5","5","2","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","0","5","0","0","0","0","13","6","0","19","0","0","0","0"
"경기도교육청","경기도교육청","경기도 의정부시","S090000451","경민고등학교","04","사립","N","","1","0","0","1","1","0","0","1","0","0","0","0","11","5","0","16","15","10","3","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","1","10","12","0","22","0","0","0","0","38","29","3","67","0","0","0","3"
"경기도교육청","경기도교육청","경기도 의정부시","S090000453","경민비즈니스고등학교","04","사립","N","","1","0","0","1","1","0","0","1","0","0","0","0","7","7","0","14","9","13","0","22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","7","15","0","22","0","0","0","0","25","36","1","61","0","0","0","1"
"경기도교육청","경기도교육청","경기도 의정부시","S090000455","경민IT고등학교","04","사립","N","","1","0","0","1","0","1","0","1","0","0","0","0","5","3","0","8","16","11","1","27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","9","13","0","22","0","0","0","0","31","29","1","60","0","0","0","1"
"경기도교육청","경기도교육청","경기도 안산시 단원구","S090000457","경안고등학교","04","사립","N","","1","0","0","1","1","0","0","1","0","0","0","0","15","0","0","15","29","20","1","49","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","8","7","0","15","0","0","0","0","54","28","1","82","0","0","0","1"
"경기도교육청","경기도교육청","경기도 안산시 단원구","S090000458","경일고등학교","04","사립","N","","1","0","0","1","1","0","0","1","0","0","0","0","10","5","1","15","14","31","6","45","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","1","9","19","0","28","0","0","0","0","35","57","7","92","0","0","0","7"
"경기도교육청","경기도교육청","경기도 광주시","S090000460","경화여자고등학교","04","사립","N","","1","0","0","1","0","1","0","1","0","0","0","0","6","6","0","12","29","12","3","41","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","1","9","12","0","21","0","0","0","0","45","33","3","78","0","0","0","3"
"경기도교육청","경기도교육청","경기도 부천시 원미구","S090000463","계남고등학교","04","공립","N","","1","0","0","1","0","1","0","1","0","0","0","0","5","7","0","12","5","34","3","39","0","3","0","3","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","3","4","0","7","0","0","0","0","14","51","3","65","0","0","0","3"
"경기도교육청","경기도교육청","경기도 성남시 분당구","S090000466","계원예술고등학교","04","사립","N","","1","0","0","1","1","0","0","1","0","0","0","0","4","4","0","8","8","20","1","28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","9","0","9","1","0","0","1","15","34","1","49","0","0","0","1"
"경기도교육청","경기도교육청","경기도 고양시 일산서구","S090000468","백송고등학교","04","사립","N","","1","0","0","1","1","0","0","1","0","0","0","0","5","5","0","10","3","6","1","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","12","0","14","0","0","0","0","12","23","1","35","0","0","0","1"
"경기도교육청","경기도교육청","경기도 고양시 덕양구","S090000469","고양외국어고등학교","04","사립","N","","1","0","0","1","0","0","0","0","1","0","0","1","9","1","0","10","19","15","0","34","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","3","9","0","12","0","0","0","0","33","26","0","59","0","0","0","0"
"경기도교육청","경기도교육청","경기도 고양시 덕양구","S090000470","고양고등학교","04","공립","N","","1","0","0","1","1","0","0","1","0","0","0","0","6","11","0","17","3","20","5","23","0","4","0","4","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","4","16","0","20","1","0","0","1","16","53","5","69","0","0","0","5"
"경기도교육청","경기도교육청","경기도 안산시 단원구","S090000471","고잔고등학교","04","공립","N","","1","0","0","1","1","0","0","1","0","0","0","0","9","3","0","12","14","37","10","51","1","2","2","3","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","4","15","0","19","0","0","0","0","30","59","12","89","0","0","0","12"
