"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","학교특성","분교여부","설립유형","주야구분","개교기념일","설립일","법정동코드","주소내역","상세주소내역","우편번호","학교도로명 우편번호","학교도로명 주소","학교도로명 상세주소","위도","경도","전화번호","팩스번호","홈페이지 주소","남녀공학 구분","폐교여부","폐교일자","휴교여부"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000881","가평마장초등학교","02","공립","","N","단설","주간","19450401","19450401","4182025029","경기도 가평군 가평읍","357번지.","477800","12409","경기도 가평군 가평읍 각담말길 15","(가평읍)","37.8603347957","127.5142895188","031-582-2756","031-582-2757","https://gpmajang-e.goegp.kr/","남녀공학","N","","N"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000882","가평초등학교","02","공립","","N","단설","주간","19070625","19070625","4182025021","경기도 가평군 가평읍","읍내리557.","477800","12417","경기도 가평군 가평읍 향교로 23","(가평읍)","37.8307170386","127.5072536163","031-582-2491","031-582-3577","https://gapyeong-e.goegp.kr","남녀공학","N","","N"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000885","대성초등학교","02","공립","","N","병설","주간","19450520","19450520","4182032524","경기도 가평군 청평면 대성리","399-16.","477812","12457","경기도 가평군 청평면 경춘로 75","(청평면, 대성초등학교)","37.683070601","127.3776110922","031-584-0621","031-584-9226","https://daesung-e.goegp.kr","남녀공학","N","","N"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000890","목동초등학교","02","공립","","N","단설","주간","19990901","19290720","4182035028","경기도 가평군 북면 이곡리","13-45.","477842","12407","경기도 가평군 북면 석장모루길 13",", 목동초등학교 (북면)","37.8792242511","127.5479635983","031-581-0615","031-581-0652","https://mokdong-e.goegp.kr","남녀공학","N","","N"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000892","목동초등학교명지분교장","02","공립","","Y","단설","주간","19310401","19310401","4182035025","경기도 가평군 북면 적목리","162번지.","477841","12400","경기도 가평군 북면 가화로 2680","(북면)","37.9710139941","127.4546881928","031-581-0711","031-581-0654","www.mokdong.es.kr","남녀공학","Y","20260301","N"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000895","미원초등학교","02","공립","","N","병설","주간","19190418","19190416","4182031021","",".","","12465","경기도 가평군 설악면 신천중앙로120번길 11","(설악면,미원초등학교)","37.6793989617","127.4909439637","031-584-7708","031-584-7316","https://miwon-e.goegp.kr","남녀공학","N","","N"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000899","미원초등학교위곡분교장","02","공립","","Y","병설","주간","19470401","19470401","4182031027","경기도 가평군 설악면 위곡리","718.","477855","12463","경기도 가평군 설악면 한서로 233","(설악면)","37.670620177","127.5153781256","031-584-7727","031-584-7316","","남녀공학","N","","N"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000900","미원초등학교장락분교장","02","공립","","Y","부설","주간","19440406","19440406","4182031026","경기도 가평군 설악면 미사리","290-3.","477853","12462","경기도 가평군 설악면 미사리로 588","(설악면, 미원초등학교장락분교)","37.7038738384","127.540174709","031-584-7213","031-584-7316","http://www.miwon.es.kr/xe/jangrak","남녀공학","N","","N"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000901","방일초등학교","02","공립","","N","병설","주간","19430401","19430401","4182031033","경기도 가평군 설악면 방일리","50번지.","477851","12472","경기도 가평군 설악면 양방가루재길 76",", 방일초등학교 (설악면)","37.6292293149","127.4994850322","031-584-7214","031-584-4108","https://bangil-e.goegp.kr","남녀공학","N","","N"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000905","상면초등학교","02","공립","","N","단설","주간","19341101","19341101","4182033024","경기도 가평군 상면 임초리","445-3번지.","477824","12447","경기도 가평군 상면 청군로 700-22","(상면, 상면초등학교)","37.7763987502","127.3711567275","031-585-2084","031-584-4742","https://sangmyun-e.goegp.kr","남녀공학","N","","N"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000906","상색초등학교","02","공립","","N","단설","주간","19360420","19360420","4182025025","경기도 가평군 가평읍 상색리","171.","477806","12426","경기도 가평군 가평읍 태봉두밀로 34-31","(가평읍,상색초등학교)","37.8054389201","127.4850548454","031-582-4306","031-582-4308","https://sangsaek-e.goegp.kr","남녀공학","N","","N"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000908","상천초등학교","02","공립","","N","단설","주간","19450525","19450525","4182032522","",".","","12449","경기도 가평군 청평면 상천역로19번길 38","(청평면,상천초등학교)","37.7701361923","127.4561134871","031-584-0622","031-585-1365","https://sang1000-e.goegp.kr","남녀공학","N","","N"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000910","연하초등학교","02","공립","","N","단설","주간","19550401","19550401","4182033021","경기도 가평군 상면 연하리","452.","477823","12444","경기도 가평군 상면 비룡로 2199-19","(상면)","37.8032332017","127.3424856522","031-585-2006","031-585-1723","https://yeonha-e.goegp.kr","남녀공학","N","","N"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000914","율길초등학교","02","공립","","N","단설","주간","19340401","19340401","4182033028","경기도 가평군 상면 율길리","454-1.","477822","12441","경기도 가평군 상면 청군로 2090",", 율길초등학교 (상면)","37.837866129","127.2885706736","031-585-0585","031-585-4371","https://yulgil-e.goegp.kr","남녀공학","N","","N"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000916","조종초등학교","02","공립","","N","단설","주간","19230527","19230527","4182034521","",".","","12437","경기도 가평군 조종면 조종새싹로 13-9","(하면)","37.8214892024","127.3489439813","031-585-0582","031-584-2337","https://jojong-e.goegp.kr","남녀공학","N","","N"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000920","청평초등학교","02","공립","","N","병설","주간","19280702","19280702","4182032500","경기도 가평군 청평면 청평2리","395.","477815","12452","경기도 가평군 청평면 잠곡로 27","(청평면)","37.7378830665","127.4219123957","031-584-0280","031-584-0282","https://chungpyong-e.goegp.kr","남녀공학","N","","N"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000974","가람초등학교","02","공립","","N","단설","주간","19960113","19960113","4128112800","경기도 고양시 덕양구 행신3동","926.","412836","10493","경기도 고양시 덕양구 행신로311번길 78","(행신동,가람초등학교)","37.6237372464","126.8422598299","031-973-0323","031-973-0325","https://kggaram-e.goegy.kr/","남녀공학","N","","N"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산서구","S090000975","강선초등학교","02","공립","","N","단설","주간","19930601","19930601","4128710200","경기도 고양시 일산서구 주엽동","64번지.","411370","10388","경기도 고양시 일산서구 강선로 77",", 강선초등학교 (주엽동)","37.6712374612","126.7646468987","031-911-6214","031-911-6217","https://gangseon-e.goegy.kr","남녀공학","N","","N"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산동구","S090000976","고봉초등학교","02","공립","","N","단설","주간","19941101","19941101","4128510200","경기도 고양시 일산동구 중산동","1554-1.","410831","10331","경기도 고양시 일산동구 중산로 280",", 고봉초등학교 (중산동)","37.696210998","126.7826293552","031-976-8104","031-976-8106","www.gobong.es.kr","남녀공학","N","","N"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산동구","S090000977","고양백석초등학교","02","공립","","N","단설","주간","19910311","19910311","4128510600","",".","","10419","경기도 고양시 일산동구 강촌로 140","(백석동,고양백석초등학교)","37.652118066","126.7890936484","031-901-4231","031-901-4234","https://kybs-e.goegy.kr/","남녀공학","N","","N"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산서구","S090000978","고양신일초등학교","02","공립","","N","단설","주간","19950601","19950601","4128710100","경기도 고양시 일산서구 일산3동","1075번지.","411827","10374","경기도 고양시 일산서구 강선로 183",", 고양신일초등학교 (일산동)","37.6795503454","126.7708317098","031-912-2071","031-912-2075","https://gysinil-e.goegy.kr/gysinil-e/main.do","남녀공학","N","","N"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000979","고양용현초등학교","02","공립","","N","단설","주간","19950301","19950301","4128112800","경기도 고양시 덕양구 행신동","770.","412220","10527","경기도 고양시 덕양구 화신로 21","(행신동,고양용현초등학교)","37.6151471652","126.8382140771","031-970-0163","031-970-0165","https://gyyonghyun-e.goegy.kr","남녀공학","N","","N"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000980","고양초등학교","02","공립","","N","병설","주간","19090501","19090501","4128111600","경기도 고양시 덕양구 고양동","236번지.","412801","10275","경기도 고양시 덕양구 혜음로13번길 22-7",", 고양초등학교 (고양동)","37.7032593243","126.899674786","031-962-0323","031-962-0324","https://koyang-e.goegy.kr/koyang-e/main.do","남녀공학","N","","N"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000981","고양화수초등학교","02","공립","","N","단설","주간","19950901","19950901","4128112300","경기도 고양시 덕양구 화정동","860번지.","412270","10472","경기도 고양시 덕양구 화수로 25",", 고양화수초등학교 (화정동)","37.6453765862","126.8327323376","031-966-4035","031-966-4039","https://hwasoo-e.goegy.kr/hwasoo-e/main.do","남녀공학","N","","N"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000982","고양화정초등학교","02","공립","","N","단설","주간","19951101","19951101","4128112300","경기도 고양시 덕양구 화정동","942번지.","412270","10501","경기도 고양시 덕양구 화신로 333",", 고양화정초등학교 (화정동)","37.6340003208","126.8261914217","031-970-1961","031-970-1964","kyhj-e.goegy.kr","남녀공학","N","","N"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산동구","S090000983","금계초등학교","02","공립","","N","단설","주간","19950301","19950301","4128510600","경기도 고양시 일산동구 백석1동","1192.","410816","10420","경기도 고양시 일산동구 강촌로 90",", 금계초등학교 (백석동)","37.6495831143","126.7843370188","031-902-4503","031-902-4505","https://gygg-e.goegy.kr/gygg-e/main.do","남녀공학","N","","N"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산동구","S090000984","낙민초등학교","02","공립","","N","단설","주간","19930401","19930401","4128510500","경기도 고양시 일산동구 마두2동","795번지.","410811","10415","경기도 고양시 일산동구 강석로 134","(마두동, 낙민초등학교)","37.6538963728","126.7800862873","031-902-1323","031-902-1326","nangmin-e.goegy.kr/","남녀공학","N","","N"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000985","내유초등학교","02","공립","","N","단설","주간","19581031","19581031","4128111900","",".","","10264","경기도 고양시 덕양구 통일로 1132","(내유동,내유초등학교)","37.7156532132","126.8518779589","031-962-8109","031-962-3242","https://naeu-e.goegy.kr","남녀공학","N","","N"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산동구","S090000986","냉천초등학교","02","공립","","N","단설","주간","19941101","19941101","4128510500","경기도 고양시 일산동구 마두1동 807~916","830번지.","410812","10407","경기도 고양시 일산동구 산두로 99",", 냉천초등학교 (마두동)","37.666769106","126.7857063427","031-902-3414","031-902-3415","https://naengcheon-e.goegy.kr/naengcheon-e/main.do","남녀공학","N","","N"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000987","능곡초등학교","02","공립","","N","병설","주간","19291007","19291007","4128112000","경기도 고양시 덕양구 토당동","278-2.","412817","10509","경기도 고양시 덕양구 토당로67번길 66","(토당동)","37.6245244322","126.815941451","031-972-0358","031-970-1406","ng-e.goegy.kr","남녀공학","N","","N"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000988","대곡초등학교","02","공립","","N","단설","주간","19740301","19740301","4128112200","",".","","10456","경기도 고양시 덕양구 대주로 138-50","(대장동,대곡초등학교)","37.6411588666","126.8127959139","031-962-5491","031-966-8707","https://daegok70-e.goegy.kr","남녀공학","N","","N"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산서구","S090000989","대화초등학교","02","공립","","N","단설","주간","19520923","19520923","4128710400","",".","","10218","경기도 고양시 일산서구 송포로 50","(대화동)","37.6715831266","126.7323866196","031-911-0002","031-911-1459","daehwa-e.goegy.kr","남녀공학","N","","N"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000990","덕은초등학교","02","공립","","N","병설","주간","19360418","19360418","4128112900","경기도 고양시 덕양구 화전동","275번지.","412160","10538","경기도 고양시 덕양구 중앙로176번길 18-4","(화전동)","37.6031692811","126.8718377012","02-3158-5581","02-3159-9148","https://deokun-e.goegy.kr","남녀공학","N","","N"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산서구","S090000991","덕이초등학교","02","공립","","N","단설","주간","19670320","19670320","4128710500","경기도 고양시 일산서구 덕이동","528번지.","411808","10236","경기도 고양시 일산서구 덕이로 104","(덕이동,덕이초등학교)","37.6928162203","126.7482517697","031-914-2118","031-914-6943","https://deoki-e-e.goegy.kr/deoki-e-e/main.do","남녀공학","N","","N"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000992","무원초등학교","02","공립","","N","단설","주간","19940901","19940901","4128112800","",".","","10521","경기도 고양시 덕양구 무원로 47","(행신동,무원초등학교)","37.617711278","126.8317024336","031-972-9517","031-972-9519","https://muwon-e.goegy.kr","남녀공학","N","","N"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산서구","S090000993","문촌초등학교","02","공립","","N","단설","주간","19940601","19940601","4128710200","경기도 고양시 일산서구 주엽2동","24번지.","411372","10388","경기도 고양시 일산서구 주엽로 168",", 문촌초등학교 (주엽동)","37.6734058306","126.760477764","031-912-0144","031-912-0145","https://e-munchon-e.goegy.kr","남녀공학","N","","N"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산서구","S090000994","문화초등학교","02","공립","","N","단설","주간","19940501","19940501","4128710200","경기도 고양시 일산서구 주엽동","37번지.","411370","10375","경기도 고양시 일산서구 강선로 123","(주엽동,문화초등학교)","37.6747994847","126.7671475761","031-912-2102","031-912-2118","http://munhwa-e.goegy.kr","남녀공학","N","","N"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산동구","S090000995","백마초등학교","02","공립","","N","단설","주간","19460901","19460901","4128510500","경기도 고양시 일산동구 마두1동 714~755","718번지.","410810","10417","경기도 고양시 일산동구 일산로 230","(마두동)","37.6578767389","126.7908951482","031-901-1678","031-901-8607","baekma-e.goegy.kr","남녀공학","N","","N"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산동구","S090000996","백마초등학교장항분교장","02","공립","","Y","단설","주간","19820901","19820901","4128510400","경기도 고양시 일산동구 장항동","580번지.","410380","","","","","","031-301-2004","031-901-8607","www.baekma.es.kr","남녀공학","Y","","N"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산동구","S090000998","백신초등학교","02","공립","","N","단설","주간","19940601","19940601","4128510600","",".","","10424","경기도 고양시 일산동구 강촌로26번길 66","(백석동,백신초등학교)","37.6442685884","126.7811117825","031-819-1601","031-819-1603","100seen-e.goegy.kr","남녀공학","N","","N"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000999","백양초등학교","02","공립","","N","단설","주간","19951201","19951201","4128112300","경기도 고양시 덕양구 화정동","990번지.","412270","10499","경기도 고양시 덕양구 화신로 238","(화정동)","37.6322305849","126.8361242417","031-971-0093","031-971-0096","https://baikyang-e.goegy.kr","남녀공학","N","","N"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산동구","S090001000","벽제초등학교","02","공립","","N","단설","주간","19450924","19450924","4128510900","경기도 고양시 일산동구 사리현동","122-2번지.","410530","10260","경기도 고양시 일산동구 공릉천로 13","(사리현동,벽제초등학교)","37.6957703523","126.8433795412","031-963-7984","031-962-4681","https://byeokje-e.goegy.kr/","남녀공학","N","","N"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090001001","삼송초등학교","02","공립","","N","단설","주간","19550614","19550614","4128110400","경기도 고양시 덕양구 원흥동","675.","412040","10557","경기도 고양시 덕양구 세솔로 150","(원흥동)","37.6541472271","126.8823752923","031-966-7963","031-966-7964","kysses-e.goegy.kr","남녀공학","N","","N"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산서구","S090001002","상탄초등학교","02","공립","","N","병설","주간","19950301","19950301","4128710300","경기도 고양시 일산서구 탄현동","1483.","411320","10243","경기도 고양시 일산서구 현중로 47",", 상탄초등학교 (탄현동)","37.6951497423","126.7666485502","031-914-0303","031-914-0311","sangtan-e.goegy.kr","남녀공학","N","","N"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090001003","성라초등학교","02","공립","","N","단설","주간","19911002","19911002","4128110600","경기도 고양시 덕양구 성사2동","732.","412808","10469","경기도 고양시 덕양구 호국로716번길 13-19",", 성라초등학교 (성사동)","37.6528095939","126.8339395315","031-966-4205","031-966-4209","https://sungra-e.goegy.kr/","남녀공학","N","","N"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090001004","성사초등학교","02","공립","","N","단설","주간","19870301","19870301","4128110600","경기도 고양시 덕양구 성사동","용우출길 77.","412020","10466","경기도 고양시 덕양구 호국로834번길 89",", 성사초등학교 (성사동,성사초등학교)","37.6577100903","126.8438788412","031-965-2163","031-967-4936","https://seongsa-e.goegy.kr","남녀공학","N","","N"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산동구","S090001005","성석초등학교","02","공립","","N","병설","주간","19451031","19451031","4128511200","경기도 고양시 일산동구 문봉동","203-6.","410560","10257","경기도 고양시 일산동구 문봉길 110","(문봉동, 성석초등학교)","37.7074195963","126.8122846226","031-977-7198","031-977-0878","seongseok-e.goegy.kr","남녀공학","N","","N"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090001006","성신초등학교","02","공립","","N","병설","주간","19970901","19960517","4128112800","경기도 고양시 덕양구 행신1동","929 번지.","412221","10494","경기도 고양시 덕양구 성신로 104",", 성신초등학교 (행신동)","37.6266068322","126.8402101757","031-973-2225","031-973-2229","seongsin-e.goegy.kr","남녀공학","N","","N"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산서구","S090001007","성저초등학교","02","공립","","N","단설","주간","19950901","19950901","4128710400","경기도 고양시 일산서구 대화동","2006번지.","411803","10369","경기도 고양시 일산서구 성저로 92",", 성저초등학교 (대화동)","37.6848414639","126.7571668866","031-915-0211","031-915-0215","https://seongjeo-e.goegy.kr","남녀공학","N","","N"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090001008","소만초등학교","02","공립","","N","단설","주간","19941101","19941101","4128112800","경기 고양시 덕양구 행신동","780.","412220","10529","경기 고양시 덕양구 화신로 48","(행신동,소만초등학교)","37.6175888383","126.8395317495","031-770-9601","031-970-2147","https://soman-e.goegy.kr/","남녀공학","N","","N"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산서구","S090001009","송포초등학교","02","공립","","N","병설","주간","19350125","19350125","4128710600","경기도 고양시 일산서구 가좌동","355-1.","411440","10210","경기도 고양시 일산서구 송산로 379","(가좌동, 송포초등학교)","37.6858312119","126.7207489344","031-923-0008","031-923-8609","https://songpo-e.goegy.kr/","남녀공학","N","","N"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산동구","S090001010","일산은행초등학교","02","공립","","N","단설","주간","20030301","20030301","4128510100","",".","","10304","경기도 고양시 일산동구 은행마을로 70","(식사동,일산은행초등학교)","37.6693456929","126.8064276344","031-969-2793","031-969-6739","eunhaeng-e.goegy.kr","남녀공학","N","","N"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090001011","신능초등학교","02","공립","","N","병설","주간","19960407","19960407","4128112800","경기도 고양시 덕양구 행신동","1005번지.","412220","10513","경기도 고양시 덕양구 충장로123번길 37",", 신능초등학교 (행신동, 신능초등학교)","37.6241831618","126.8311395813","031-973-0084","031-973-0087","http://shinneung-e.goegy.kr/","남녀공학","N","","N"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090001012","신원초등학교","02","공립","","N","단설","주간","19680301","19680301","4128110300","경기도 고양시 덕양구 신원동","155-1.","412070","10567","경기도 고양시 덕양구 신원3로 21",", 신원초등학교 (신원동, 신원초등학교)","37.6679283976","126.8858037341","02-381-5171","02-381-5172","https://sinwone-e.goegy.kr/","남녀공학","N","","N"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산서구","S090001014","신촌초등학교","02","공립","","N","단설","주간","19941101","19941101","4128710100","경기도 고양시 일산서구 일산3동","1068.","411827","10374","경기도 고양시 일산서구 후곡로 52","(일산동)","37.6816592637","126.7661058543","031-912-2092","031-912-2161","sinchon-e.goegy.kr","남녀공학","N","","N"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산동구","S090001015","안곡초등학교","02","공립","","N","단설","주간","20031101","20020118","4128510200","경기도 고양시 일산동구 중산동","161-3 번지.","410831","10334","경기도 고양시 일산동구 중산로 142","(중산동)","37.6848857479","126.7816590897","031-976-1624","031-976-1631","https://angok-e.goegy.kr","남녀공학","N","","N"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산서구","S090001016","오마초등학교","02","공립","","N","단설","주간","19940228","19940228","4128710200","",".","","10375","경기도 고양시 일산서구 주엽로 214","(주엽동)","37.677093858","126.76286909","031-912-2123","031-912-2125","https://oma-e.goegy.kr","남녀공학","N","","N"
