"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","1학년 학급수","1학년 학생수","1학년 학급당 학생수","2학년 학급수","2학년 학생수","2학년 학급당 학생수","3학년 학급수","3학년 학생수","3학년 학급당 학생수","4학년 학급수","4학년 학생수","4학년 학급당 학생수","5학년 학급수","5학년 학생수","5학년 학급당 학생수","6학년 학급수","6학년 학생수","6학년 학급당 학생수","특수학급 학급수","특수학급 학생수","특수학급 학급당 학생수","순회학급 학급수","순회학급 학생수","순회학급 학급당 학생수","학급수(계)","학생수(계)","학급당 학생수(계)","교사수","수업교원 1인당 학생수"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000881","가평마장초등학교","02","공립","N","","1","9","9","1","7","7","1","4","4","1","8","8","1","9","9","1","14","14","1","4","4","0","0","0","7","55","7.9","8","6.9"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000882","가평초등학교","02","공립","N","","4","105","26.3","4","107","26.8","5","116","23.2","5","119","23.8","5","120","24","6","148","24.7","1","6","6","0","0","0","30","721","24","38","19"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000885","대성초등학교","02","공립","N","","1","17","17","1","11","11","1","16","16","1","3","3","1","12","12","1","14","14","1","3","3","0","0","0","7","76","10.9","8","9.5"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000890","목동초등학교","02","공립","N","","1","7","7","1","8","8","1","11","11","1","10","10","1","6","6","1","14","14","1","3","3","0","0","0","7","59","8.4","8","7.4"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000892","목동초등학교명지분교장","02","공립","N","","1","2","2","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","2","3","1.5","2","1.5"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000895","미원초등학교","02","공립","N","","2","27","13.5","2","29","14.5","2","33","16.5","2","36","18","3","42","14","2","47","23.5","1","5","5","0","0","0","14","219","15.6","18","12.2"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000899","미원초등학교위곡분교장","02","공립","N","","1","3","3","1","3","3","0","0","0","1","7","7","1","2","2","1","4","4","1","2","2","0","0","0","6","21","3.5","7","3"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000900","미원초등학교장락분교장","02","공립","N","","1","2","2","1","3","3","1","4","4","0","0","0","1","5","5","1","1","1","1","2","2","0","0","0","6","17","2.8","7","2.4"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000901","방일초등학교","02","공립","N","","1","12","12","1","8","8","1","10","10","1","6","6","1","12","12","1","9","9","1","2","2","0","0","0","7","59","8.4","8","7.4"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000905","상면초등학교","02","공립","N","","1","6","6","1","7","7","1","5","5","1","4","4","1","8","8","1","5","5","1","1","1","0","0","0","7","36","5.1","8","4.5"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000906","상색초등학교","02","공립","N","","1","10","10","1","9","9","1","13","13","1","7","7","1","10","10","1","9","9","1","7","7","0","0","0","7","65","9.3","9","7.2"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000908","상천초등학교","02","공립","N","","1","5","5","1","14","14","1","6","6","1","8","8","1","10","10","1","2","2","0","0","0","0","0","0","6","45","7.5","7","6.4"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000910","연하초등학교","02","공립","N","","1","11","11","1","11","11","1","20","20","1","14","14","1","15","15","1","17","17","1","1","1","0","0","0","7","89","12.7","8","11.1"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000914","율길초등학교","02","공립","N","","1","14","14","1","9","9","1","12","12","1","11","11","1","8","8","1","8","8","0","0","0","0","0","0","6","62","10.3","7","8.9"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000916","조종초등학교","02","공립","N","","2","49","24.5","2","51","25.5","2","44","22","2","39","19.5","2","48","24","3","65","21.7","2","8","4","0","0","0","15","304","20.3","18","16.9"
"경기도교육청","경기도가평교육지원청","경기도 가평군","S090000920","청평초등학교","02","공립","N","","2","37","18.5","2","45","22.5","2","42","21","2","32","16","3","50","16.7","3","55","18.3","2","8","4","0","0","0","16","269","16.8","20","13.5"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000974","가람초등학교","02","공립","N","","2","37","18.5","3","53","17.7","3","56","18.7","3","59","19.7","3","68","22.7","3","60","20","1","2","2","0","0","0","18","335","18.6","22","15.2"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산서구","S090000975","강선초등학교","02","공립","N","","3","78","26","3","76","25.3","4","91","22.8","4","101","25.3","4","89","22.3","5","128","25.6","1","5","5","0","0","0","24","568","23.7","31","18.3"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산동구","S090000976","고봉초등학교","02","공립","N","","2","43","21.5","3","60","20","3","70","23.3","3","59","19.7","3","63","21","2","46","23","1","3","3","0","0","0","17","344","20.2","20","17.2"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산동구","S090000977","고양백석초등학교","02","공립","N","","3","69","23","3","69","23","4","83","20.8","4","86","21.5","3","74","24.7","5","113","22.6","0","0","0","0","0","0","22","494","22.5","26","19"
"경기도교육청","경기도고양교육지원청","경기도 고양시 일산서구","S090000978","고양신일초등학교","02","공립","N","","4","94","23.5","4","105","26.3","6","145","24.2","7","168","24","6","152","25.3","7","168","24","0","0","0","0","0","0","34","832","24.5","40","20.8"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000979","고양용현초등학교","02","공립","N","","2","37","18.5","2","40","20","2","41","20.5","2","38","19","3","55","18.3","2","50","25","1","2","2","0","0","0","14","263","18.8","17","15.5"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000980","고양초등학교","02","공립","N","","3","57","19","3","56","18.7","2","50","25","3","70","23.3","3","67","22.3","4","79","19.8","2","13","6.5","0","0","0","20","392","19.6","26","15.1"
"경기도교육청","경기도고양교육지원청","경기도 고양시 덕양구","S090000981","고양화수초등학교","02","공립","N","","4","81","20.3","3","68","22.7","4","78","19.5","3","69","23","3","72","24","5","108","21.6","2","7","3.5","0","0","0","24","483","20.1","30","16.1"
